Taxon ID,Name,Common Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Totals,,,450925,557904,724250,977100,1300094,1771147,2765322,4684885,8467346,14834308,24032147,30537093,34951789,42040556
6930,Anas platyrhynchos,Mallard,923,1036,1631,2331,3243,4576,7551,13594,24180,37840,63937,82883,88778,107630
47219,Apis mellifera,Western Honey Bee,302,482,754,1088,1737,2776,6176,11206,20096,36199,62178,69552,74399,86078
48662,Danaus plexippus,Monarch,383,515,732,813,1835,3397,5892,12031,22836,34786,41944,54316,50632,50149
48548,Vanessa cardui,Painted Lady,176,153,573,572,815,1077,1335,8616,2435,27483,10387,8088,17226,21941
48484,Harmonia axyridis,Asian Lady Beetle,207,230,419,670,1033,1375,3010,6245,11563,23352,43987,53550,56448,66776
4956,Ardea herodias,Great Blue Heron,594,769,1301,1664,2281,3113,5499,9287,15433,22292,36393,44201,46535,50884
13858,Passer domesticus,House Sparrow,431,519,831,1291,1626,2605,4290,7918,13075,21834,36836,48670,53954,61489
46017,Sciurus carolinensis,Eastern Gray Squirrel,304,361,559,736,1031,1609,3320,6881,14232,20588,33358,35666,44153,42843
7089,Branta canadensis,Canada Goose,459,606,949,1271,1659,2430,4382,7605,13265,20348,33988,44148,47783,54041
144455,Ardea alba,Great Egret,617,779,1226,1703,2313,3389,4967,8143,14330,20215,28304,35649,39367,45710
42223,Odocoileus virginianus,White-tailed Deer,510,682,965,1230,1627,2405,4786,7735,13579,20093,33938,36735,40704,46841
12727,Turdus migratorius,American Robin,294,414,895,983,1427,2214,3576,6697,13087,20031,37539,44388,49442,53070
5212,Buteo jamaicensis,Red-tailed Hawk,396,527,974,1476,1856,2653,4428,8358,13620,18969,31969,38363,38452,38059
52821,Achillea millefolium,common yarrow,143,191,253,434,630,883,2036,4166,8606,18712,31810,34288,35204,41043
3017,Columba livia,Rock Pigeon,358,469,590,902,1193,1623,2935,5527,10223,17766,22946,34051,43417,51058
49133,Vanessa atalanta,Red Admiral,385,228,785,518,858,1716,2527,4102,5730,16830,17721,22881,20747,40313
47602,Taraxacum officinale,common dandelion,121,173,283,394,645,894,2179,3680,9525,16387,27657,30167,29663,31364
9083,Cardinalis cardinalis,Northern Cardinal,326,385,542,922,1440,2024,2838,5935,11110,15996,32286,36757,39164,40625
199840,Haemorhous mexicanus,House Finch,203,279,505,923,1246,2176,3232,6436,10496,15467,29776,35984,35251,36952
118970,Bombus impatiens,Common Eastern Bumble Bee,67,110,140,301,410,547,1303,3496,6910,15153,25149,31926,32206,42203
55745,Trifolium repens,white clover,71,63,151,281,335,574,1461,3245,6991,14125,25835,27713,26274,28672
3454,Zenaida macroura,Mourning Dove,142,229,376,725,1015,1447,2706,5984,10157,13651,25686,29277,30953,32981
39782,Trachemys scripta,Pond Slider,299,350,459,846,1261,1748,2868,5083,8932,13019,17696,22906,24691,27406
36204,Sceloporus occidentalis,Western Fence Lizard,210,261,469,817,1978,2476,4443,7770,10919,12777,16358,18685,19409,19864
9744,Agelaius phoeniceus,Red-winged Blackbird,320,366,623,880,1199,1723,2648,5095,8356,12774,21610,30499,31413,33920
4756,Cathartes aura,Turkey Vulture,331,426,709,1029,1409,2149,3260,5471,8973,12551,20033,24985,28090,29306
64968,Anaxyrus americanus,American Toad,214,279,355,492,706,1002,2093,3554,6953,12388,23157,22309,22286,23674
14886,Mimus polyglottos,Northern Mockingbird,202,245,390,772,1023,1539,2415,4675,8288,12379,21273,23693,24616,26230
14850,Sturnus vulgaris,European Starling,220,311,410,767,1078,1433,2225,4497,7759,12373,23516,29847,31777,36023
