Taxon ID,Name,Common Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Totals,,,450917,557870,724230,977092,1300096,1771128,2765296,4684866,8467393,14834166,24031838,30536894,34951450,42038565
6930,Anas platyrhynchos,Mallard,923,1036,1631,2331,3243,4576,7551,13594,24180,37840,63937,82883,88778,107625
47219,Apis mellifera,Western Honey Bee,302,482,754,1088,1737,2776,6176,11205,20096,36200,62178,69552,74399,86073
48662,Danaus plexippus,Monarch,383,515,732,813,1835,3397,5892,12032,22836,34786,41944,54315,50632,50149
48484,Harmonia axyridis,Asian Lady Beetle,207,230,419,670,1033,1375,3010,6245,11563,23351,43987,53550,56448,66776
13858,Passer domesticus,House Sparrow,431,519,831,1291,1626,2605,4289,7918,13075,21834,36836,48670,53954,61490
4956,Ardea herodias,Great Blue Heron,594,769,1301,1664,2281,3113,5499,9287,15433,22292,36392,44199,46535,50881
7089,Branta canadensis,Canada Goose,459,606,949,1272,1659,2430,4382,7605,13265,20348,33988,44148,47783,54039
12727,Turdus migratorius,American Robin,294,414,895,984,1427,2214,3576,6697,13087,20031,37539,44388,49442,53069
42223,Odocoileus virginianus,White-tailed Deer,510,682,965,1230,1627,2405,4786,7734,13579,20093,33938,36735,40704,46838
144455,Ardea alba,Great Egret,617,779,1226,1703,2313,3389,4967,8143,14330,20215,28304,35648,39367,45706
46017,Sciurus carolinensis,Eastern Gray Squirrel,304,361,559,736,1031,1609,3320,6881,14232,20588,33358,35666,44152,42840
5212,Buteo jamaicensis,Red-tailed Hawk,396,527,974,1476,1856,2653,4428,8358,13620,18969,31969,38363,38452,38056
3017,Columba livia,Rock Pigeon,358,469,590,902,1193,1623,2935,5527,10223,17766,22945,34050,43417,51058
9083,Cardinalis cardinalis,Northern Cardinal,326,385,542,922,1440,2024,2838,5935,11110,15996,32285,36757,39163,40625
199840,Haemorhous mexicanus,House Finch,203,279,505,923,1246,2176,3232,6436,10496,15467,29776,35983,35251,36951
52821,Achillea millefolium,common yarrow,143,191,253,434,630,883,2036,4166,8607,18712,31810,34288,35204,41043
3454,Zenaida macroura,Mourning Dove,142,229,376,725,1015,1447,2706,5984,10157,13651,25685,29277,30954,32980
118970,Bombus impatiens,Common Eastern Bumble Bee,67,110,140,301,410,547,1303,3496,6910,15153,25149,31926,32204,42195
14850,Sturnus vulgaris,European Starling,220,310,410,767,1078,1433,2225,4497,7759,12373,23516,29847,31777,36023
9744,Agelaius phoeniceus,Red-winged Blackbird,320,366,623,880,1199,1723,2648,5095,8356,12774,21610,30498,31413,33920
47602,Taraxacum officinale,common dandelion,121,172,283,394,645,894,2179,3680,9525,16387,27657,30167,29663,31364
9100,Melospiza melodia,Song Sparrow,211,222,646,960,1187,1740,2632,4482,7185,11957,22206,27506,28448,30320
4756,Cathartes aura,Turkey Vulture,331,426,709,1029,1409,2149,3260,5471,8973,12551,20032,24985,28090,29306
51702,Coccinella septempunctata,Seven-spotted Lady Beetle,166,264,367,415,588,860,1884,3208,5547,11431,21087,23522,28259,38672
145245,Setophaga coronata,Yellow-rumped Warbler,260,292,476,872,1287,1978,2657,4760,8408,10976,19386,24680,27089,28907
49133,Vanessa atalanta,Red Admiral,385,228,785,518,858,1716,2527,4102,5730,16830,17721,22881,20747,40313
55745,Trifolium repens,white clover,71,63,151,281,335,574,1461,3245,6991,14125,25835,27713,26274,28672
14886,Mimus polyglottos,Northern Mockingbird,202,245,390,772,1023,1539,2415,4675,8288,12378,21273,23693,24616,26229
10094,Junco hyemalis,Dark-eyed Junco,247,287,500,683,1009,1484,2175,4027,7164,10225,18839,24327,25729,26999
39782,Trachemys scripta,Pond Slider,299,350,459,846,1261,1748,2868,5083,8932,13019,17696,22906,24691,27404
55626,Pieris rapae,Small White,270,320,431,791,782,1183,2005,3423,6136,11334,20692,23190,25050,30188
5305,Haliaeetus leucocephalus,Bald Eagle,359,419,729,848,1135,1540,2419,4257,7089,9932,16573,21860,23114,25288
51875,Trifolium pratense,Red Clover,87,94,165,258,379,523,1048,2346,4956,10815,24229,24445,24738,28276
64968,Anaxyrus americanus,American Toad,214,279,355,492,706,1002,2093,3554,6953,12388,23157,22309,22285,23673
56061,Alliaria petiolata,garlic mustard,67,68,118,174,258,361,969,1890,5148,10494,24669,23484,23505,26510
36204,Sceloporus occidentalis,Western Fence Lizard,210,261,469,817,1978,2476,4443,7770,10919,12777,16358,18685,19409,19863
792988,Dryobates pubescens,Downy Woodpecker,172,246,349,557,837,1164,1968,3274,5968,8784,18527,20866,23082,23027
28362,Thamnophis sirtalis,Common Garter Snake,210,362,497,630,891,1141,2193,3840,6154,10520,19822,20875,21312,24040
76610,Daucus carota,wild carrot,112,128,202,301,379,618,1323,2965,5247,11291,18864,22833,21861,26270
1454382,Nannopterum auritum,Double-crested Cormorant,270,295,583,834,1134,1596,2652,4077,6827,9653,15147,19264,21843,22917
116999,Pandion haliaetus,Osprey,403,503,711,924,1332,1843,2750,4497,7167,10174,13604,17667,20919,23503
203153,Parus major,Great Tit,214,169,213,346,434,605,777,1645,2645,5891,12709,20862,22173,28575
